name,address,town,postcode,phone,website,attended_price,cremation_price,nafd_member,saif_member,verified
McGillivray Funeral Directors,139-141 Restalrig Road,Edinburgh,EH7 6HW,0131 554 7777,http://johnmcg-funeral-directors.co.uk,2585,1400,,,true
Scotmid Funerals,,Edinburgh,,0800 996 1927,https://scotmidfunerals.coop,2099,1399,false,false,true
Fair Price Funeral Services,,Liverpool,SK6 2QE,0151 736 0068,https://www.fairpricefunerals.co.uk,2650,1195,false,false,true
Richard & Shannon Jenkins Funeral Directors,3 Allerton Rd,Liverpool,L18 1LG,0151 808 0108,https://rsjfunerals.co.uk,2200,1500,,,true
Desmond L Bannon & Sons,"The White House, Broad Green Rd",Liverpool,L13 5SF,0151-228-2272,https://www.bannonsfunerals.com,1950,875,,,true
Debbie Bennett Funeral Directors,"31 High Street, Prescot",Liverpool,L34 6HE,0151 426 3131,https://debbiebennettfuneraldirectors.co.uk,1500,795,true,false,true
Variety Funerals,,,NN12 6LQ,0800 774 7804,https://varietyfunerals.com,1199,995,false,false,true
The Affordable Funeral Company,"227 Droylsden Rd, Audenshaw",Manchester,M34 5ZT,0161 343 7230,http://www.theaffordablefuneralcompany.com,2699,1200,,,true
William H Painter Funeral Directors,398 Yardley Road,Birmingham,NG1 6HH,0121 706 1291,https://www.williamhpainter.co.uk,,1984,false,false,true
Carroll and Carroll Funerals,125 Easterly Road,Leeds,LS8 2TP,0113 345 3160,https://www.carrollandcarrollfunerals.co.uk,3160,1275,,,true
Jepson Funerals Limited,,Sheffield,,0114 265 3000,http://foggfuneraldirectors.co.uk,1599,1450,false,false,true
Peace Funerals,,Sheffield,,,https://peacefunerals.co.uk,1485,395,,,true
H. Keeton Independent Family Funeral Directors,"Highfield Lane, Handsworth",Sheffield,S13 9NA,0114 269 2785,https://www.hkeetonfuneraldirectors.co.uk,1786,1415,,,true
R W Barrett & Son Funeral Services Ltd,379 West Road,Newcastle upon Tyne,NE15 7NL,0191 241 0873,https://www.rwbarrettandson.co.uk,1361,1530,false,false,true
Newcastle Family Funeral Directors,71-73 Great North Road,Newcastle,NE3 2DQ,0191 284 5400,http://funeraldirectorsnewcastle.co.uk,2500,1195,false,false,true
Clark Pearson Funerals,2-2a Baroness Drive,Newcastle,NE15 7AT,0191 274 4373,https://www.clarkpearsonfunerals.co.uk,1500,1250,,,true
Nottinghamshire Funeral Service,"11 Bexon Court, Foxhill Road",Carlton,NG4 1SQ,0115 987 1237,http://www.nottinghamshirefuneralservice.co.uk,,1500,false,false,true
Paul Pender and Son Independent Funeral Directors,The Shakespeare 226 Braunstone Lane,Leicester,LE3 3AS,0116 2896608,https://paulpenderandson.co.uk,,1500,false,false,true
Bay Tree Funerals,7A Welford Rd,Leicester,LE8 4FT,0116 2788868,https://baytreefunerals.co.uk,2150,,false,false,true
Buckminster Funerals,"15, Buckminster Road",Leicester,LE3 9AT,0116 2623087,https://buckminsterfunerals.co.uk,1060,850,,,true
Henry Ison & Sons Funeral Directors,,Coventry,NG1 6HH,02476 458 665,https://www.henryison.co.uk,4275,,false,false,true
J. E. Hackett and Sons,,Coventry,CV6 6BH,,http://www.jehackettandsons.co.uk,2435,1700,false,false,true
Franklin Funerals,333 Tile Hill Lane,Coventry,CV4 9DU,024 7647 3000,https://franklinfunerals.co.uk,2465,1500,,,true
Coventry Funeral Service,40 Jackson Road,Coventry,CV6 4BT,024 7697 7702,https://www.coventryfuneralservice.co.uk,2022,1535,,,true
Joseph A. Hey & Son,470 Great Horton Road,Bradford,NG1 6HH,01274 571 021,http://www.heyfunerals.co.uk,,1195,false,false,true
Edwin Pounds & Sons Funeral Directors,"New Line, Greengates",Bradford,NG1 6HH,01274 613155,https://www.edwinpoundsandsons.co.uk,,1984,false,false,true
Cloverfield Funeral Services,88 Holroyd Hill,Bradford,BD6 1NP,01274 225335,https://www.cloverfieldfuneralservices.co.uk,3195,895,false,false,true
Sincerity Funerals,245 Trysull Road,Wolverhampton,WV3 7LG,01902 239 050,https://sincerityfunerals.co.uk,2995,1295,false,false,true
Hopcraft Funeral Directors,38 Great Brickkiln Street,Wolverhampton,WV3 0PR,01902 420452,http://www.hopcraft-funerals.co.uk,2795,1195,,,true
Burgess & Harper Funeral Directors,,Wolverhampton,NG1 6HH,01902 212649,https://www.burgessandharper.co.uk,3945,,false,false,true
George Simnett Family Funeral Directors,65 High Street,Derby,DE73 6TB,01332 690211,https://www.georgesimnett.co.uk,2699,1420,,,true
Waters & Sons Family Funeral Directors,106 Spring Road,Southampton,SO19 2QB,023 8043 4244,https://www.funeraldirectorssouthampton.co.uk,2995,1595,false,true,true
Jonathan Terry Independent Funeral Directors Ltd,101 Peartree Avenue,Southampton,SO19 7JJ,023 8043 4444,http://www.jonathanterry.co.uk,3321,1300,,,true
J Lawrence & Sons,17 St. Denys Road,Southampton,SO17 2GN,023 8055 4801,https://jlawrenceundertakers.co.uk,3500,1725,,,true
Mears of Southampton,2b Windermere Avenue,Southampton,SO16 9GH,023 8244 8728,https://www.mearsofsouthampton.co.uk,2640,1495,,,true
Barrells Funeral Directors,245 Fratton Road,Portsmouth,PO1 5PA,023 9282 4831,http://www.barrells.co.uk,3616,1500,,,true
Simply Funerals,,Portsmouth,NG1 6HH,0800 077 4222,https://www.simply-funerals.co.uk,3745,1984,false,false,true
The Oaks Havant Crematorium,Bartons Road,Havant,PO9 5NA,023 9222 2648,https://www.funeraldirectors-portsmouth.co.uk,875,320,,,true
Clifford's Family Funeral Directors Limited,450 Crownhill Road,Plymouth,PL5 2QT,,https://www.cliffordsltd.co.uk,1800,1568,false,false,true
John Duckworth Ltd,North Hylton Road,Sunderland,SR5 5QZ,0191 5160202,http://johnduckworth.co.uk,2075,1500,,,true
John G Hogg Funeral Directors,10-11 Martin Terrace,Sunderland,NG1 6HH,0191 514 2744,https://www.johnghogg.co.uk,1700,,false,false,true
Joseph Lymer & Son,,Stoke-on-Trent,,01782 202270,http://www.lymerfunerals.co.uk,2015,1545,false,false,true
Arlington Funeral Services,"Arlington House, Ford Green Rd",Stoke-on-Trent,ST6 1NX,01782 818888,https://www.arlingtonfuneralservices.co.uk,2995,1575,true,true,true
Harold H Leese (A. Boulton & Sons) Funeral Directors & Memorial Masons,St Peter's Close,Stoke-on-Trent,ST4 1LP,01782 744433,https://leeses.co.uk,2865,925,,,true
Tudor-Davies Funeral Services,"The Beeches, 142 Waterloo Road",Stoke-on-Trent,ST6 3HB,01782 811411,https://www.tudor-davies.co.uk,1695,1299,,,true
Garton & Son,546 Anlaby Road,Hull,HU3 6SY,01482 354036,https://www.mgarton.co.uk,,1650,true,false,true
A B Walker,36 Eldon Road,Reading,RG1 4DL,0118 957 3650,https://www.abwalker.co.uk,3600,1695,,,true
Laurence Jones Funeral Directors,,,CH63 8QU,0151 608 8503,https://www.laurencejones.org,2000,1399,,,true
Miles & Daughters Funeral Directors,"Tamela House, 157-161 Caversham Road",Reading,RG41 5EX,01189590022,https://www.milesfunerals.com,3590,1995,,,true
Kenna and Turner,"Breezehill Funeral Home, 31 Rowson St",Wallasey,CH45 5AR,0151 638 4444,https://kennaandturner.co.uk,2350,1395,,,true
Dallingers Funeral Directors,103 Brighton Street,Wallasey,CH44 6QL,0151 637 1000,http://www.dallingers.co.uk,2600,2100,true,false,true
McCallum & Tritton,46 Mersey View,Brighton Le Sands,L22 6QB,0151 931 2002,https://www.mccallumandtritton.co.uk,1495,280,,,true
Sussex Funeral Services,185 Portland Road,Hove,BN3 5QJ,01273 736469,https://www.brightonfuneraldirectors.co.uk,2564,1395,,,true
Colin McGinley Independent Family Funeral Service Ltd,235A Acklam Road,Middlesbrough,TS5 7AB,(01642) 826 222,http://www.colinmcginleyfuneralservice.co.uk,2491,1479,false,false,true
A & J Morriss and Sons,"343, Lower Addiscombe Rd",Croydon,CR0 6RG,020 8654 0990,https://www.ajmorriss.com,1995,900,,,true
Selsdon & District Funeral Service,204 Addington Road,South Croydon,CR2 8LD,020 8657 0030,https://selsdonfuneraldirectors.co.uk,1950,,false,false,true
James Hawes & Goodchild Funeral Directors,,Hackney,NG1 6HH,020 8985 4231,https://www.hawes-goodchild.co.uk,4350,,false,false,true
Steven Mears Funeral Directors,,Lewisham,NG1 6HH,020 8776 7446,https://www.stevenmears.co.uk,4350,1984,false,false,true
Eternal Pages Walthamstow,"201, Forest Road",Walthamstow,E17 6HE,0208 819 3456,https://eternalpages.co.uk,2155,950,,,true
Mears of Walthamstow,411 Chingford Road,Walthamstow,E17 5AF,020 8520 4999,https://www.mearsofwalthamstow.co.uk,2640,1495,,,true
Alfred Smith Funeral Directors,,,NG1 6HH,020 7928 5377,https://www.asmithfunerals.co.uk,4350,,false,false,true
F A Albin & Sons Limited,88 Brandon Street,Southwark,SE16 2TN,+44(0)20 7313 6990,https://www.albins.co.uk,3500,2400,,,true
Harrison Funeral Home,,Islington,EN3 5JW,,https://harrisonfuneralhome.co.uk,1500,975,false,false,true
Evershed Brothers,,Wandsworth,SW2 5UT,,https://www.evershedbrothers.co.uk,1450,1115,false,false,true
Mears & Cotterill Funeral Directors,,Wandsworth,NG1 6HH,020 8108 1679,https://www.mearsandcotterill.co.uk,4350,,false,false,true
White Rose Modern Funerals,,,TW1 3NR,020 3281 1045,https://whiterosemodernfunerals.co.uk,3200,1695,false,false,true
Enfield Funeral Directors,317 Baker Street,Enfield,EN1 3LE,0208 364 6004,https://www.enfieldfuneraldirectors.com,2795,950,false,false,true
LDC Funeral Services,,Haringey,NW5 1AH,0207 482 0264,https://ldcfunerals.co.uk,3770,1790,false,false,true
Brent Funeral Service,,Brent,HA9 0FJ,,https://brentfuneralservice.co.uk,1830,1115,false,false,true
Patrick Ryan and Daughter,6 South Ealing Road,Ealing,NG1 6HH,020 8567 1664,https://www.patrick-ryan.co.uk,,1695,false,false,true
Lodge Brothers,,Ealing,,020 8818 7725,https://www.lodgebros.co.uk,4410,2665,false,false,true
NC Funeral Directors,40 Highfield Road,Blackpool,FY4 2JA,01253 420 450,https://www.ncfuneraldirectors.co.uk,2195,1295,true,true,true
Box Bros Funeral Directors,,Blackpool,NG1 6HH,0125 322 6366,https://www.boxbros.co.uk,2490,,false,false,true
Sue Gibbons Funeral Service,"Sterling House, 2 Park St, Poolstock",Wigan,WN3 5HE,01942820290,http://www.sgfunerals.co.uk,3550,3550,true,false,true
G W Turner Funeral Directors,,Stockport,NG1 6HH,0161 820 0598,https://www.gwturner.co.uk,3945,,false,false,true
George Ball & Son Funeral Directors,39 Derby Range,Stockport,SK4 4AB,0161 432 2131,https://www.georgeball.co.uk,3175,1498,,,true
Brian Sharples & Son Ltd,,Stockport,,,https://www.briansharples.co.uk,2749,,false,false,true
Robert Nuttall Funeral Service,,Rochdale,NG1 6HH,01706 507 967,https://www.robertnuttallfuneralservice.co.uk,3945,,false,false,true
Independent Funeral Service,"Mill House, Mellor Street",Rochdale,OL11 5BU,01706 639941,https://www.bridgefoldfuneralservice.co.uk,2240,1604,,,true
Oldham Independent Funeral Services,2a-2b Edward Street,Oldham,OL9 7QW,0161 624 1209,http://www.oldhamindependentfuneralservices.co.uk,,1376,true,true,true
AF Whites Funeral Services,11 Beal Lane,Oldham,OL2 8UY,01706 551720,https://www.afwhitesfuneralservices.co.uk,2650,,false,false,true
Alderson & Horan Funeral Services Ltd,,Burnley,BB11 5DH,01282 427483,https://www.aldersonandhoran.com,2055,2274,false,false,true
Fred Hamer Funeral Directors,James Street,Rawtenstall,BB4 7NE,01706 215721,https://www.fredhamer.co.uk,2780,1650,,,true
William Houghton Funeral Directors,219 Tag Lane,Preston,PR2 3TY,01772 722 415,https://www.williamhoughtonfunerals.co.uk,2700,1495,,,true
Clifford Ward Independent Funeral Director,,Preston,,01772 885 775,http://www.ward-clifford.org.uk,2595,1420,false,false,true
Hayley Owen Funeral Service,169-171 Boroughbridge Road,York,Y026 6AN,01904 792525,https://yorkfunerals.uk,2050,620,,,true
Rowley and Sons Family Funeral Services,"Dilston House, 65 Lawrence St",York,YO10 3BU,01904 593096,http://www.rowleyandsons.co.uk,1995,,false,false,true
J G Fielder & Son,48-50 Clarence Street,York,YO31 7EW,01904 654460,https://www.jgfielderandson.co.uk,2170,,false,false,true
Nigel Goodwin Funeral Directors,1 St Martins Avenue,Doncaster,DN5 8HZ,01302 789788,https://www.doncasterfunerals.com,3955,,false,false,true
K.Dixon Funerals,210 Warmsworth Road,Doncaster,DN4 0TR,01302 560641,https://doncaster-funerals.co.uk,2950,950,,true,true
J. Parkinson & Sons,Oil Mill Fold,Rotherham,S60 1BB,01709 382576,http://www.jparkinsonandsons.co.uk,2740,1695,false,false,true
Barnsley Municipal Funerals,376 Doncaster Road,Barnsley,S70 3RH,01226 496 111,https://www.barnsleyfunerals.co.uk,2395,,false,false,true
Hammerton's Funeral Directors,,Barnsley,NG1 6HH,01226 697 528,https://www.hammertonsfuneraldirectors.co.uk,3195,,false,false,true
B M & C Howard Funeral Services,92-92a Wakefield Road,Barnsley,S71 1NN,01226 249911,https://www.bmandchoward-funeralservice.co.uk,3400,1350,false,false,true
Wakefield Funeral Services,,Wakefield,NG1 6HH,01924 918788,https://www.wakefieldfunerals.co.uk,3945,,false,false,true
Howarth Funeral Service,125 Denby Dale Rd,Wakefield,WF2 8EB,01924 376590,http://www.howarthfunerals.co.uk,2515,357,false,false,true
Harpin's Funeral Service,,Wakefield,NG1 6HH,01924 371091,https://www.harpinsfuneral.co.uk,2775,,false,false,true
Huddersfield Funeral Home,,Huddersfield,NG1 6HH,01484 819781,https://www.huddersfieldfs.co.uk,3945,,false,false,true
D.J. Screen & Sons Funeral Home,222-224 Bradford Road,Huddersfield,HD1 6LJ,01484 455220,http://www.djscreenandsons.co.uk,2895,1250,true,true,true
Deborah Ingham Huddersfield Funeral Service,59-61 Highgate Lane,Huddersfield,HD8 0DS,01484 451 313,https://www.huddersfieldfunerals.com,2500,1650,,,true
Amanda Dalby Funeral Services,"310, Salterhebble Hill",Halifax,HX3 0QT,01422 253 593,https://www.halifaxfunerals.co.uk,3000,2000,,,true
Emotions Funeral Service,"North Lodge, Stoney Royd, Swan Bank Lane",Halifax,HX3 9HR,01422 345472,https://www.emotionsfunerals.co.uk,2350,1450,false,false,true
J. W. Emberson Funeral Directors,81-83 Macaulay Street,Grimsby,DN31 2DS,01472 250074,https://www.jwemberson.co.uk,2595,,true,false,true
Lincoln and County,"Shop 4, 2 Station Road",North Hykeham,LN6 9AQ,01522 581617,http://www.lincolnandcounty.com,2670,1500,,,true
Lincolnshire Co-op Funeral Services,,Lincoln,LN5 7DB,,http://www.lincolnshire.coop,2545,1495,false,false,true
Final Journey Funerals,2 Durdar Road,Carlisle,CA2 4SA,,http://www.finaljourneyfunerals.co.uk,1695,1595,false,false,true
Dawn Evans Funeral Directors,41-43 Warwick Road,Carlisle,CA1 1EE,01228 597440,https://www.dawnevansfunerals.co.uk,1920,1400,,,true
Sean Crilley Funeral Directors of Carlisle,78 Brook Street,Carlisle,CA1 2HX,(01228) 544905,https://www.seancrilleyfuneraldirectors.com,1940,1626,true,,true
County Durham Funeral Directors,Sacriston Ln,Durham,DH7 6QU,0191 371 0170,http://www.countydurhamfuneraldirectors.co.uk,3050,1550,false,false,true
East Durham Funeral Service Ltd,"The Manse, Bede Way",Peterlee,SR8 1AD,,http://eastdurhamfuneralservice.co.uk,1650,1500,false,false,true
Darlington Funeral Service,297-299 North Road,Darlington,DL1 2JR,01325 480000,http://www.darlingtonfuneralservice.co.uk,,1495,true,false,true
Dutton & Hallmark Funeral Services,,Chester,NG1 6HH,01244 455 661,https://www.duttonandhallmark.co.uk,3515,,false,false,true
G & M Goold Funeral Directors,,Chester,NG1 6HH,01244 456 974,https://www.gmgooldfunerals.co.uk,3190,,false,false,true
WRR Pugh & Son,133 Longden Coleham,Shrewsbury,SY3 7DN,01743 344646,https://www.pughsfuneraldirectors.com,,1795,true,false,true
Jackson Family Funeral Directors,,Worcester,,,https://www.jacksonfamilyfunerals.com,2000,1450,false,false,true
Mason & Stokes Funeral Service,"Tudor Lodge, 54 Hewlett Road",Cheltenham,GL52 6AH,,https://www.masonandstokes.co.uk,2804,1859,false,false,true
Alexander Burn Funeral Directors,436 High Street,Cheltenham,GL50 3JA,01242 245350,https://alexanderburn.com,2981,1895,,,true
Dawe Brothers Funeral Directors,,Hereford,NG1 6HH,01432 274 066,https://www.dawebrothers.co.uk,4350,,false,false,true
L Tranter & Son,101-109 West Street,Telford,TF2 9JE,(01952) 613932,https://www.tranterfunerals.co.uk,3310,2095,,,true
Hilton's Funerals,18 Wellington Rd,Telford,TF2 8NQ,01952 228570,http://www.hiltonsfunerals.co.uk,3280,1295,true,true,true
Simplicity Cremations,,Telford,B73 6AP,0808 239 8151,https://www.simplicity.co.uk,,1399,true,false,true
Huntleys Funeral Services,,Redditch,NG1 6HH,01527 908478,https://www.huntleysfunerals.co.uk,3420,1984,false,false,true
Thomas Brothers,494 Evesham Road,Redditch,B97 5JF,01527 547777,http://www.thomasbrothers.co.uk,3820,1484,true,true,true
Gaunts of Kidderminster,"1 Lupin Works, Worcester Road",Kidderminster,DY10 1JR,01562 541062,https://www.gauntsofkidderminster.co.uk,2200,1800,,,true
Trevor E.W. Hickton Ltd,"Whitmore House, 8-11 Lower High Street",Cradley Heath,B64 5AB,01562 66903,https://www.tewhickton.co.uk,2995,1795,,true,true
B.Ince,"Bank House, 8 Severn Side South",Bewdley,DY12 2DX,01299 403105,https://bincefuneraldirector.co.uk,1820,1380,,,true
Attwood Funerals,"Attwood House, 220 Marlpool Lane",Kidderminster,DY11 5DL,01562 632081,https://www.attwoodfunerals.co.uk,2050,1195,,,true
Richard Stebbings Funeral Service Ltd,"1 Kendal Court, Impington",Cambridge,CB24 9YS,01223232309,http://www.richardstebbingsfunerals.co.uk,2300,2200,,,true
Farthing Funeral Service,,Ipswich,NG1 6HH,01473 272 711,https://www.farthingfunerals.co.uk,4230,,false,false,true
G M Taylor Independent Funeral Directors,27 Ulster Avenue,Ipswich,IP1 5JS,01473 806131,https://www.gmtfunerals.co.uk,1900,1597,,,true
Shayne Stork Family Funeral Service,104-106 Sprowston Road,Norwich,NR3 4QW,01603 385455,https://www.sprowstonfuneralservice.com,1900,1000,true,false,true
Kevin Cobbold Funeral Services,109 Cromer Road,Norwich,NR6 6XW,01603 528800,https://cobboldfunerals.co.uk,1995,1350,,,true
Allcock Family Funeral Services,City Road,Norwich,NR1 2HD,,https://allcockfunerals.co.uk,2650,2075,,,true
Nicholas E. Potts & Daughter,"Angel House, 20 Angel Road",Norwich,NR3 3HP,01603 219779,https://www.pottsfuneralsnorwich.co.uk,1895,1000,false,false,true
Peterborough & District Funeral Services Ltd,207 Broadway,Peterborough,PE7 3NT,01733 245883,https://www.peterboroughfuneralservices.com,3072,1265,false,false,true
John Lucas Funeral Directors Ltd,31 Dogsthorpe Road,Peterborough,PE1 3AD,,http://www.johnlucasfunerals.co.uk,2545,1590,true,false,true
Hollowells,4 Ironstone Way,Northampton,NN6 9UD,(01604) 79 22 22,https://hollowells.co.uk,2949,1495,,,true
Kevin Matthews Funeral Service Ltd,1-5 Balmoral Road,Northampton,NN2 6LA,01604 792284,http://www.kmfunerals.co.uk,2845,1580,,,true
Richard Finch and Sons,77 Military Road,Northampton,NN1 3ET,01604 639444,https://www.finchfunerals.co.uk,2700,2200,,,true
S.E. Wilkinson & Son,30 Grove Road,Northampton,NN1 3LQ,01604 637852,https://northamptonfuneraldirectors.co.uk,,575,false,false,true
Milton Keynes Family Funeral Services,12 White Horse Drive,Milton Keynes,MK4 2AS,01908 505570,http://mkffs.co.uk,3428,,false,false,true
Finch & Sons,,Milton Keynes,MK2 2EH,01908 367777,http://www.finchandsonsfunerals.com,1895,1255,false,false,true
Crownhill Crematorium,"Dansteed Way, Crownhill",Milton Keynes,MK8 0AH,01908 568112,http://www.hwmason.co.uk,,504,false,false,true
Butterfly Funerals Ltd,39 Elm Avenue,Luton,LU1 4HS,01582 968130,http://www.butterfly-funerals.co.uk,2700,,false,false,true
M K Ginder & Sons,Unit 1b Greycaine Road,Watford,WD24 7GP,01923 248323,http://www.ginder.co.uk,2995,1895,true,true,true
Penrose Funeral Directors,94 Bridgwater Drive,Southend-on-Sea,SS0 0DH,01702 436000,http://www.penrosefunerals.co.uk,1998,595,false,false,true
M Lucking and Sons,195 New London Road,Chelmsford,CM2 0AE,01245 353733,http://www.mluckingandsons.co.uk,2290,1699,,,true
T. Pennack and Sons Ltd,1-3 Maldon Road,Chelmsford,CM2 7DW,01245 471157,http://www.tpennackandsons.com,2345,1475,,,true
Molyneux Jones,37 St Cuthberts Street,Bedford,MK40 3JG,01234 363 191,http://www.molyneuxjones.co.uk,2400,,false,false,true
Jackson Browning Funerals,295 Iffley Road,Oxford,OX4 4AQ,01865 451436,https://jacksonbrowningfunerals.co.uk,1995,1500,,true,true
Albany Funerals,669 Loose Road,Maidstone,ME15 9UX,01622 746 688,https://www.albany-funerals.co.uk,4262,,false,false,true
C.W. Lyons & Son Ltd,70 Military Road,Canterbury,CT1 1ND,01227 463508,https://www.cwlyonsfunerals.co.uk,2435,1500,,,true
Woollard & Kent,122 Wincheap,Canterbury,CT1 3RS,01227 456 300,https://woollardandkent.co.uk,1695,1395,false,false,true
Banfield & Pomphrey Funeral Directors,476 Old London Road,Hastings,NG1 6HH,01424 720 002,https://www.banfield-pomphrey.co.uk,2695,,false,false,true
Willows Funeral Service,17 Station Parade,Eastbourne,BN21 1BE,01323 733354,https://www.willowsfuneralservices.co.uk,,3999,false,true,true
Rosedale Funeral Service,62 Grove Road,Eastbourne,BN21 4UH,01323 726100,https://www.rosedalefuneralservice.co.uk,4780,1420,,,true
TLC Funeral Services,3 Boxgrove Parade,Worthing,BN12 6BR,01903 242930,https://tlcfuneralservices.co.uk,1692,1340,,,true
AG Morriss Funerals,158 Findon Road,Worthing,BN14 0EL,01903 896776,https://agmorrissfunerals.co.uk,2650,1750,,,true
L.J. Crawley Family Run & Owned Funeral Directors,"Aspley Park House, 594-551 Aspley Lane",Nottingham,NG8 5RX,(0115) 929 5999,https://crawleysfuneraldirectors.com,1595,1600,,,true
Alan Greenwood & Sons,66 Send Road,Guildford,GU23 7EU,01483 210222,http://www.alangreenwoodfunerals.com,2345,1295,false,false,true
E Sargeant & Son Funeral Directors,,Slough,NG1 6HH,01753 336 709,https://www.esargeant.co.uk,4350,1984,false,false,true
L Titcombe & Family,4 Elmwood Parade,Basingstoke,RG23 8LL,01256 476366,https://www.tmfunerals.co.uk,1980,1495,false,false,true
Hillier Funeral Service,"Kingshill House, Kent Road",Swindon,SN1 4NH,01793 522797,https://www.hillierfuneralservice.co.uk,3630,1995,,,true
Pearce Funeral Services,"92 Ermin Street, Stratton St Margaret",Swindon,,01793 832 072,https://pearcefuneralservices.co.uk,3670,1565,false,true,true
Bath Funeral Director,83 The Parade,Bath,BS37 8QP,01225 315586,http://funeraldirectorsbath.co.uk,2665,1450,,,true
Bath Funeral Director,83 The Parade,Bath,BS37 8QP,01225 315586,https://bathfuneraldirector.co.uk,2665,1450,,,true
Exeter & District Funeral Services,,Exeter,NG1 6HH,01392 249750,https://www.exeterfunerals.co.uk,3190,,false,false,true
LeRoy Funerals,,Exeter,EX2 8HH,01392 255535,https://www.leroyfunerals.co.uk,2300,1450,false,false,true
W.Smith & Sons,2 Leybourne Avenue,Bournemouth,BH10 6HF,,https://www.wsmith-funerals.co.uk,2645,1885,true,true,true
George Scott Funeral Services,15 Somerset Road,Bournemouth,BH7 6JH,01202 395827,https://funeralsbournemouth.co.uk,2495,1685,true,true,true
Ives & Shand Funeral Service in Poole,,Poole,BH21 1AB,01202 367307,https://www.funeraldirector.co.uk,3087,1810,false,false,true
Torbay & District Funeral Service,,Torquay,NG1 6HH,01803 897586,https://www.torbayfunerals.co.uk,3415,,false,false,true
Drakes of Torbay Funeral Service,,Torquay,NG1 6HH,01803 896928,https://www.drakesfuneralservice.co.uk,3415,,false,false,true
Stockman & Loram,,Torquay,TQ5 9NE,01803 424596,https://www.stockmanandloram.co.uk,3200,,false,true,true
L. J. Tregunna,49 Kenwyn Street,Truro,TR1 3DB,,https://www.ljtregunnafuneraldirectors.co.uk,2265,475,,,true
Taunton Funeral Services Ltd,55 Bridge Street,Taunton,TA1 1TP,01823 321 077,https://www.tauntonfuneralservice.com,1125,1531,false,false,true
Ivor Thomas Funerals,81 Rhydhelig Avenue,Cardiff,CF14 4DB,029 2169 0022,http://ivorthomasfunerals.co.uk,4240,1550,,,true
Coles Funeral Directors,792-794 Newport Road,Cardiff,CF3 4FH,02920 797 516,https://www.colesfuneraldirectors.co.uk,5519,1395,,,true
Green Willow Funerals,"Eclipse House, Coronation Road",Cardiff,CF14 4QY,02920 524 200,https://www.greenwillowfunerals.com,,1310,false,false,true
Phillip G. Davies & Son,Waunarlwydd Road,Swansea,SA2 0GB,01792 581924,https://www.davies-leefuneraldirectors.co.uk,2320,1450,,,true
DG Attwell Funeral Directors,95 Eaton Road,Swansea,SA5 9JH,01792 650205,https://www.dgattwell.co.uk,2075,1400,,,true
Michael G Ryan Son & Daughters Funeral Directors,,Newport,NG1 6HH,01633 854 522,https://www.michaelgryansonanddaughters.com,3415,,false,false,true
Liam Stafford Funeral Directors & Stonemasons Ltd,"2, Wellington Road",Newport,TF10 7HD,01952 971400,https://liamstaffordfuneraldirectors.co.uk,3150,2000,,,true
Roberts Bros Funeral Directors,Pentre Broughton,Wrexham,LL11 6AG,01978 756 997,http://www.pentrebroughton.co.uk,4248,995,,,true
Caldecott and Sons,,Wrexham,LL13 7HY,,https://caldecottandsons.co.uk,2515,500,,,true
Tilston's Funeral Services,"New High Street, Ruabon",Wrexham,LL14 6PW,01978 822308,https://www.tilstonsfuneralservices.co.uk,2150,1495,false,false,true
